Category,Latitude,Longitude,Street name,Outcome category,Outcome status,Outcome date
burglary,51.470738,-0.093877,On or near Coldharbour Place,Investigation complete; no suspect identified,2023-05
burglary,51.475300,-0.061128,On or near Carlton Grove,Investigation complete; no suspect identified,2023-06
burglary,51.477257,-0.096600,On or near Comber Grove,Investigation complete; no suspect identified,2023-05
burglary,51.467303,-0.065873,On or near Further/higher Educational Building,Investigation complete; no suspect identified,2023-08
burglary,51.469430,-0.067798,On or near Shopping Area,Investigation complete; no suspect identified,2023-06
burglary,51.487617,-0.072359,On or near Harmony Place,Investigation complete; no suspect identified,2023-06
burglary,51.471243,-0.069766,On or near Shopping Area,Investigation complete; no suspect identified,2023-10
burglary,51.484769,-0.083512,On or near Albany Road,Investigation complete; no suspect identified,2023-05
burglary,51.479935,-0.058313,On or near Supermarket,Investigation complete; no suspect identified,2023-10
burglary,51.467692,-0.065482,On or near Parking Area,Investigation complete; no suspect identified,2023-07
burglary,51.467692,-0.065482,On or near Parking Area,Investigation complete; no suspect identified,2023-07
burglary,51.471136,-0.070908,On or near Oliver Mews,Investigation complete; no suspect identified,2023-09
burglary,51.467692,-0.065482,On or near Parking Area,Investigation complete; no suspect identified,2023-10
burglary,51.475125,-0.070654,On or near Jocelyn Street,Investigation complete; no suspect identified,2023-06
burglary,51.480696,-0.070375,On or near Reddins Road,Investigation complete; no suspect identified,2023-06
burglary,51.479241,-0.095841,On or near Crown Street,Investigation complete; no suspect identified,2023-06
burglary,51.466913,-0.084836,On or near Stories Road,Investigation complete; no suspect identified,2023-08
burglary,51.484331,-0.077611,On or near Loncroft Road,Investigation complete; no suspect identified,2023-06
burglary,51.475682,-0.081070,On or near Dalwood Street,Investigation complete; no suspect identified,2023-09
burglary,51.487468,-0.079179,On or near Mina Road,Investigation complete; no suspect identified,2023-09
burglary,51.486549,-0.086765,On or near Inville Road,Investigation complete; no suspect identified,2023-07
burglary,51.468634,-0.093849,On or near Bessemer Road,Investigation complete; no suspect identified,2023-05
burglary,51.487783,-0.073173,On or near Brodie Street,Investigation complete; no suspect identified,2023-05
burglary,51.481548,-0.074631,On or near Davey Street,Investigation complete; no suspect identified,2023-06
burglary,51.484331,-0.077611,On or near Loncroft Road,Investigation complete; no suspect identified,2023-05
burglary,51.481441,-0.073585,On or near Pennack Road,Investigation complete; no suspect identified,2023-06
burglary,51.482405,-0.067178,On or near Frensham Street,Investigation complete; no suspect identified,2023-05
burglary,51.476277,-0.093833,On or near A202,Investigation complete; no suspect identified,2023-05
burglary,51.469827,-0.068430,On or near Rye Lane,Investigation complete; no suspect identified,2023-09
burglary,51.466913,-0.084836,On or near Stories Road,Investigation complete; no suspect identified,2023-07
burglary,51.478032,-0.073570,On or near Sumner Road,Court result unavailable,2023-11
burglary,51.468250,-0.085745,On or near Canning Cross,Investigation complete; no suspect identified,2023-07
burglary,51.480825,-0.087033,On or near Parkhouse Street,Investigation complete; no suspect identified,2023-05
burglary,51.463928,-0.074999,On or near Oglander Road,Investigation complete; no suspect identified,2023-08
burglary,51.471243,-0.069766,On or near Shopping Area,Investigation complete; no suspect identified,2023-09
burglary,51.478475,-0.080276,On or near Blake's Road,Investigation complete; no suspect identified,2023-08
burglary,51.475300,-0.061128,On or near Carlton Grove,Investigation complete; no suspect identified,2023-05
